"","pdb","N_queries"
"864","1T0H",335
"865","1T0J",367
"866","1T1D",324
"867","1T4K",228
"868","1T66",230
"869","1T6N",246
"870","1T83",385
"871","1TAB",279
"872","1TAW",272
"873","1TCO",561
"874","1TDQ",514
"875","1TE0",224
"876","1TET",289
"877","1TFX",321
"878","1TGS",341
"879","1THP",270
"880","1TJG",564
"881","1TJT",205
"882","1TLK",477
"883","1TP3",394
"884","1TQ0",271
"885","1TRM",248
"886","1TRN",244
"887","1TU3",614
"888","1TWX",275
"889","1TX4",838
"890","1TZG",525
"891","1TZH",1160
"892","1TZI",1166
"893","1U0N",662
"894","1U2H",361
"895","1U3H",459
"896","1U5I",423
"897","1U5S",389
"898","1U67",315
"899","1U6A",628
"900","1U6G",802
"901","1U7T",220
"902","1U8E",218
"903","1U8K",553
"904","1UAD",664
"905","1UHB",223
"906","1UJ0",449
"907","1UJ3",1037
"908","1UKH",297
"909","1UKL",416
"910","1UKV",723
"911","1ULS",211
"912","1UM4",364
"913","1UN0",215
"914","1UNG",1002
"915","1UPT",594
"916","1UR6",607
"917","1US8",262
"918","1UTI",453
"919","1UV5",351
"920","1UVQ",252
"921","1UW4",681
"922","1UWE",284
"923","1UWG",463
"924","1UYW",720
"925","1UZL",215
"926","1UZM",267
"927","1V1F",421
"928","1V4L",207
"929","1V7M",736
"930","1VE3",260
"931","1VFA",627
"932","1VG0",815
"933","1VGE",679
"934","1VIA",431
"935","1VJ6",383
"936","1VL8",202
"937","1VLQ",230
"938","1VPL",226
"939","1VR1",274
"940","1VRK",496
"941","1VYH",795
"942","1VYW",1344
"943","1VZQ",275
"944","1W0Y",432
"945","1W15",354
"946","1W3B",395
"947","1W4Z",201
"948","1W63",365
"949","1W72",1191
"950","1W98",1374
"951","1WA5",1016
"952","1WBG",275
"953","1WC7",312
"954","1WDC",553
"955","1WEJ",1173
"956","1WLP",412
"957","1WQ1",609
"958","1WRK",459
"959","1WTL",472
"960","1WWL",382
"961","1WYX",439
"962","1X1E",216
"963","1X27",573
"964","1X6V",312
"965","1X70",217
"966","1X79",204
"967","1X7A",293
"968","1X7G",201
"969","1X86",663
"970","1X8S",381
"971","1XCD",528
"972","1XCG",983
"973","1XD3",210
"974","1XEF",564
"975","1XFU",509
"976","1XFX",470
"977","1XGP",898
"978","1XGY",244
"979","1XIW",216
"980","1XK4",427
"981","1XKA",577
"982","1XKL",203
"983","1XKU",527
"984","1XMI",339
"985","1XNF",313
"986","1XVA",225
"987","1XVJ",426
"988","1XWD",474
"989","1XX9",276
"990","1XXD",277
"991","1XXI",304
"992","1XZP",937
"993","1Y0L",238
"994","1Y0V",492
"995","1Y1U",365
"996","1Y2A",203
"997","1Y7H",204
"998","1Y8G",813
"999","1YA5",711
"1000","1YAS",211
"1001","1YB6",211
"1002","1YBV",286
"1003","1YCS",956
"1004","1YDT",968
"1005","1YJD",969
"1006","1YM0",268
"1007","1YMM",301
"1008","1YNT",581
"1009","1YPZ",234
"1010","1YQV",370
"1011","1YR6",505
"1012","1YRN",374
"1013","1YRP",607
"1014","1YRU",500
"1015","1YTZ",628
"1016","1YUH",477
"1017","1YWO",449
"1018","1YXM",205
"1019","1YY8",456
"1020","1Z0J",667
"1021","1Z0K",696
"1022","1Z2C",673
"1023","1Z3G",465
"1024","1Z5S",286
"1025","1Z6J",507
"1026","1Z7X",510
"1027","1Z8I",275
"1028","1Z8J",275
"1029","1ZA3",1090
"1030","1ZA6",719
"1031","1ZAN",266
"1032","1ZBD",848
"1033","1ZBQ",218
"1034","1ZC3",633
"1035","1ZEA",284
"1036","1ZEM",206
"1037","1ZGL",315
"1038","1ZGU",303
"1039","1ZJD",320
"1040","1ZLS",335
"1041","1ZMU",1150
"1042","1ZMV",1070
"1043","1ZMW",1099
"1044","1ZOI",244
"1045","1ZOT",500
"1046","1ZP6",485
"1047","1ZSG",455
"1048","1ZUB",358
"1049","1ZUN",265
"1050","1ZVN",238
"1051","1ZVU",322
"1052","1ZWI",228
"1053","1ZWS",279
"1054","1ZXA",415
"1055","1ZXK",242
"1056","1ZYS",240
"1057","221P",549
"1058","2A0L",304
"1059","2A0Q",270
"1060","2A27",268
"1061","2A2A",265
"1062","2A4C",237
"1063","2A4E",243
"1064","2A4J",467
"1065","2A5D",562
"1066","2A5G",563
"1067","2A62",239
"1068","2A6D",632
"1069","2A78",673
"1070","2A79",655
"1071","2A9H",241
"1072","2A9M",624
"1073","2AAB",358
"1074","2ADF",702
"1075","2ADG",277
"1076","2AEP",425
"1077","2AEQ",265
"1078","2AHY",245
"1079","2AIN",370
"1080","2AK5",455
"1081","2AN9",261
"1082","2AP2",517
"1083","2ARJ",858
"1084","2ATK",228
"1085","2AUC",297
"1086","2AVP",463
"1087","2AX4",248
"1088","2AZT",218
"1089","2B0O",638
"1090","2B0S",511
"1091","2B2X",1239
"1092","2B4C",264
"1093","2B5I",377
"1094","2B9C",1195
"1095","2B9H",747
"1096","2BBK",221
"1097","2BBM",490
"1098","2BBU",242
"1099","2BC4",229
"1100","2BCG",691
"1101","2BCJ",905
"1102","2BDT",430
"1103","2BDW",852
"1104","2BDY",251
"1105","2BE6",523
"1106","2BEC",469
"1107","2BFX",500
"1108","2BFY",483
"1109","2BGR",214
"1110","2BJM",259
"1111","2BKH",565
"1112","2BKK",616
"1113","2BKU",720
"1114","2BL0",560
"1115","2BM2",271
"1116","2BMC",937
"1117","2BOK",451
"1118","2BOV",488
"1119","2BQ6",447
"1120","2BRR",283
"1121","2BUG",380
"1122","2BVR",277
"1123","2BWJ",207
"1124","2BZ8",452
"1125","2C07",233
"1126","2C0L",371
"1127","2C1A",927
"1128","2C1M",212
"1129","2C1T",216
"1130","2C2L",371
"1131","2C2V",227
"1132","2C5D",304
"1133","2C5L",608
"1134","2C7A",206
"1135","2C9O",663
"1136","2CCL",255
"1137","2CD0",277
"1138","2CE7",448
"1139","2CGA",256
"1140","2CH7",393
"1141","2CHQ",297
"1142","2CJS",289
"1143","2CJT",291
"1144","2CJU",302
"1145","2CJW",942
"1146","2CK2",266
"1147","2CKL",599
"1148","2CL0",502
"1149","2CLQ",895
"1150","2CMR",907
"1151","2CN5",833
"1152","2CO0",814
"1153","2COL",500
"1154","2D0N",453
"1155","2D1X",451
"1156","2D1Y",226
"1157","2D3E",1140
"1158","2D74",378
"1159","2D7C",702
"1160","2D7T",555
"1161","2D9Q",230
"1162","2DD8",918
"1163","2DDQ",253
"1164","2DF6",457
"1165","2DFK",798
"1166","2DHR",367
"1167","2DI3",262
"1168","2DM9",440
"1169","2DMA",424
"1170","2DQI",390
"1171","2DQT",205
"1172","2DR3",230
"1173","2DRK",453
"1174","2DRM",453
"1175","2DTC",504
"1176","2DTG",1119
"1177","2DVW",634
"1178","2DYN",505
"1179","2DYP",322
"1180","2DZN",634
"1181","2E1M",211
"1182","2E27",261
"1183","2E2E",333
"1184","2E30",461
"1185","2E3J",234
"1186","2E3X",247
"1187","2E7L",242
"1188","2E9V",319
"1189","2E9W",531
"1190","2EB2",213
"1191","2EB3",242
"1192","2EC6",561
"1193","2EER",326
"1194","2EEZ",206
"1195","2EFC",682
"1196","2EFK",257
"1197","2EFR",1417
"1198","2EGK",379
"1199","2EGO",377
"1200","2EHB",448
"1201","2EHD",207
"1202","2EIZ",665
"1203","2EJY",377
"1204","2EK1",690
"1205","2EK6",701
"1206","2ELB",553
"1207","2EQB",902
"1208","2ERJ",374
"1209","2ERZ",957
"1210","2ES4",242
"1211","2ESM",702
"1212","2ESV",427
"1213","2EWV",520
"1214","2EWW",420
"1215","2F2O",495
"1216","2F2U",538
"1217","2F53",282
"1218","2F5A",595
"1219","2F5B",587
"1220","2F6J",238
"1221","2F7E",1033
"1222","2F7S",730
"1223","2F8X",647
"1224","2F91",280
"1225","2F9D",747
"1226","2F9J",739
"1227","2F9N",272
"1228","2F9O",271
"1229","2FAT",461
"1230","2FB4",233
"1231","2FBJ",248
"1232","2FBN",364
"1233","2FD6",711
"1234","2FDB",750
"1235","2FGW",1139
"1236","2FH5",428
"1237","2FH9",1229
"1238","2FHO",744
"1239","2FI4",319
"1240","2FI5",310
"1241","2FI7",353
"1242","2FJF",1131
"1243","2FJH",1106
"1244","2FJU",619
"1245","2FL5",507
"1246","2FNJ",240
"1247","2FO1",595
"1248","2FO7",466
"1249","2FPD",346
"1250","2FPF",343
"1251","2FSE",211
"1252","2FSF",216
"1253","2FSG",204
"1254","2FT3",512
"1255","2FUG",267
"1256","2FUK",221
"1257","2FXM",746
"1258","2FXO",731
"1259","2FYS",759
"1260","2G01",234
"1261","2G1T",468
"1262","2G2F",496
"1263","2G4B",727
"1264","2G4L",211
"1265","2G5B",405
"1266","2G5P",216
"1267","2G6Q",216
"1268","2G77",800
"1269","2GAO",528
"1270","2GBC",272
"1271","2GC4",221
"1272","2GCY",921
"1273","2GD4",535
"1274","2GD7",205
"1275","2GFB",343
"1276","2GGM",457
"1277","2GHP",736
"1278","2GHW",786
"1279","2GI7",202
"1280","2GJ8",807
"1281","2GJ9",830
"1282","2GKS",219
"1283","2GL7",206
"1284","2GNF",1163
"1285","2GNG",1155
"1286","2GNJ",1125
"1287","2GP9",270
"1288","2GPH",766
"1289","2GS2",250
"1290","2GS7",248
"1291","2GSG",311
"1292","2GSZ",427
"1293","2GU8",984
"1294","2GV5",474
"1295","2GW1",351
"1296","2GXA",245
"1297","2GXQ",296
"1298","2GZA",1033
"1299","2GZD",703
"1300","2H0D",595
"1301","2H16",590
"1302","2H1P",266
"1303","2H2B",380
"1304","2H2C",380
"1305","2H4M",245
"1306","2H61",433
"1307","2H7V",598
"1308","2H9E",358
"1309","2H9M",806
"1310","2HCB",305
"1311","2HDP",431
"1312","2HE0",582
"1313","2HEI",619
"1314","2HFE",456
"1315","2HFF",1012
"1316","2HFG",1052
"1317","2HH0",284
"1318","2HJF",237
"1319","2HLD",218
"1320","2HMI",293
"1321","2HNT",273
"1322","2HO1",352
"1323","2HQS",470
"1324","2HR7",229
"1325","2HRP",207
"1326","2HT1",214
"1327","2HV8",708
"1328","2HWZ",496
"1329","2HYD",391
"1330","2HYI",1088
"1331","2I04",379
"1332","2I0I",373
"1333","2I0L",377
"1334","2I2R",851
"1335","2I3D",202
"1336","2I3S",684
"1337","2I3T",762
"1338","2I6L",319
"1339","2I94",463
"1340","2I9L",263
"1341","2IAD",217
"1342","2IAE",307
"1343","2IBG",316
"1344","2ICW",358
"1345","2ID5",703
